epoch,batch,loss
0,0,1.1740
0,1,1.0962
0,2,1.1678
0,3,1.0924
0,4,1.0287
0,5,1.1837
0,6,1.1153
0,7,1.0794
0,8,1.1256
0,9,1.1367
0,10,1.1165
0,11,1.1225
0,12,1.0703
0,13,1.0986
1,0,1.0602
1,1,1.0173
1,2,1.0100
1,3,1.0312
1,4,1.0443
1,5,0.9412
1,6,1.0211
1,7,0.9826
1,8,0.9947
1,9,0.8934
1,10,0.9687
1,11,1.1676
1,12,0.9553
1,13,0.9433
2,0,0.8963
2,1,0.9044
2,2,0.6863
2,3,1.0273
2,4,0.8875
2,5,0.9773
2,6,0.9023
2,7,0.8273
2,8,0.8740
2,9,0.8866
2,10,0.9001
2,11,1.2079
2,12,0.8880
2,13,0.7063
3,0,0.7860
3,1,0.8363
3,2,0.9681
3,3,0.7657
3,4,0.6619
3,5,0.9773
3,6,0.9419
3,7,1.0156
3,8,0.7029
3,9,0.8622
3,10,0.7804
3,11,0.7020
3,12,0.9488
3,13,0.5956
4,0,0.7884
4,1,0.5790
4,2,0.7448
4,3,0.5988
4,4,0.7268
4,5,0.7544
4,6,0.8680
4,7,1.1232
4,8,0.8550
4,9,0.7161
4,10,0.7012
4,11,0.8993
4,12,0.6768
4,13,0.6404
